,UID,Frequencylist,Lslist,Rslist
0,0,0.01,7.42298,0.0316101
1,1,0.02,7.3716300000000015,0.0479746
2,2,0.03,7.30992,0.06883260000000001
3,3,0.04,7.24855,0.09020239999999999
4,4,0.05,7.196160000000001,0.110517
5,5,0.06,7.15215,0.129072
6,6,0.07,7.11572,0.14594100000000002
7,7,0.08,7.08523,0.161241
8,8,0.09,7.05965,0.175352
9,9,0.1,7.03823,0.188503
10,10,0.11,7.019819999999999,0.200823
11,11,0.12,7.003889999999999,0.21257800000000002
12,12,0.13,6.98993,0.223798
13,13,0.14,6.97772,0.234658
14,14,0.15,6.966760000000001,0.24512199999999998
15,15,0.16,6.956919999999999,0.255387
16,16,0.17,6.9478800000000005,0.265392
17,17,0.18,6.939589999999999,0.275186
18,18,0.19,6.93203,0.28479499999999996
19,19,0.2,6.9250099999999986,0.29427800000000004
20,20,0.21,6.91843,0.30354899999999996
21,21,0.22,6.9123399999999995,0.312672
22,22,0.23,6.9047600000000005,0.320368
23,23,0.24,6.8994399999999985,0.329176
24,24,0.25,6.8944100000000015,0.337897
25,25,0.26,6.889880000000001,0.346531
26,26,0.27,6.88541,0.35484499999999997
27,27,0.28,6.8811,0.363137
28,28,0.29,6.87702,0.37142800000000004
29,29,0.3,6.87308,0.379423
30,30,0.31,6.8694099999999985,0.387278
31,31,0.32,6.86584,0.39519499999999996
32,32,0.33,6.8624100000000015,0.403059
33,33,0.34,6.859189999999999,0.410613
34,34,0.35,6.85607,0.418249
35,35,0.36,6.85303,0.42582600000000004
36,36,0.37,6.8502,0.433271
37,37,0.38,6.84747,0.440621
38,38,0.39,6.84489,0.447999
39,39,0.4,6.84247,0.455163
40,40,0.41,6.83997,0.46223100000000006
41,41,0.42,6.8376,0.46924
42,42,0.43,6.835260000000001,0.476102
43,43,0.44,6.8331,0.482862
44,44,0.45,6.83097,0.48973599999999995
45,45,0.46,6.8289,0.496674
46,46,0.47,6.826969999999998,0.5032939999999999
47,47,0.48,6.825080000000002,0.509942
48,48,0.49,6.82326,0.5166569999999999
49,49,0.5,6.821460000000001,0.52318
50,50,0.51,6.8199,0.529686
51,51,0.52,6.818160000000001,0.535998
52,52,0.53,6.816560000000001,0.542308
53,53,0.54,6.815010000000001,0.5485180000000001
54,54,0.55,6.81349,0.554715
55,55,0.56,6.81205,0.561107
56,56,0.57,6.81062,0.5673050000000001
57,57,0.58,6.8092799999999984,0.573333
58,58,0.59,6.80795,0.579554
59,59,0.6,6.8066699999999996,0.585687
60,60,0.61,6.805389999999999,0.591784
61,61,0.62,6.804169999999999,0.5975050000000001
62,62,0.63,6.80294,0.603355
63,63,0.64,6.801810000000001,0.609189
64,64,0.65,6.80076,0.615029
65,65,0.66,6.7996,0.621013
66,66,0.67,6.7986,0.626819
67,67,0.68,6.79758,0.632605
68,68,0.69,6.79657,0.638075
69,69,0.7,6.79558,0.643646
70,70,0.71,6.79466,0.649403
71,71,0.72,6.7937699999999985,0.6550060000000001
72,72,0.73,6.792860000000001,0.660537
73,73,0.74,6.791989999999998,0.6663060000000001
74,74,0.75,6.7911899999999985,0.671519
75,75,0.76,6.7903899999999995,0.676944
76,76,0.77,6.789610000000001,0.6822600000000001
77,77,0.78,6.7889,0.687893
78,78,0.79,6.78822,0.693415
79,79,0.8,6.787539999999999,0.698629
80,80,0.81,6.7868,0.703886
81,81,0.82,6.78604,0.709029
82,82,0.83,6.785310000000001,0.71449
83,83,0.84,6.784739999999999,0.719961
84,84,0.85,6.78417,0.7249479999999999
85,85,0.86,6.7835600000000005,0.730073
86,86,0.87,6.78293,0.7351479999999999
87,87,0.88,6.7824,0.740173
88,88,0.89,6.781810000000001,0.745691
89,89,0.9,6.78131,0.75113
90,90,0.91,6.78075,0.7563770000000001
91,91,0.92,6.78026,0.761121
92,92,0.93,6.779730000000001,0.765746
93,93,0.94,6.7793100000000015,0.7704270000000001
94,94,0.95,6.778790000000001,0.775908
95,95,0.96,6.778389999999999,0.780783
96,96,0.97,6.77798,0.785924
97,97,0.98,6.7776000000000005,0.791134
98,98,0.99,6.7772299999999985,0.795446
99,99,1.0,6.7769,0.799926
100,100,1.01,6.776490000000001,0.804776
101,101,1.02,6.7760799999999985,0.8100350000000001
102,102,1.03,6.77568,0.8153020000000001
103,103,1.04,6.775410000000001,0.8208290000000001
104,104,1.05,6.775119999999999,0.8258059999999999
105,105,1.06,6.7748800000000005,0.8304290000000001
106,106,1.07,6.7745799999999985,0.835151
107,107,1.08,6.774260000000001,0.839284
108,108,1.09,6.774,0.842723
109,109,1.1,6.77372,0.846405
110,110,1.11,6.7734999999999985,0.851541
111,111,1.12,6.773269999999999,0.855807
112,112,1.13,6.773060000000001,0.860866
113,113,1.14,6.7728399999999995,0.865604
114,114,1.15,6.77262,0.8711530000000001
115,115,1.16,6.772469999999999,0.8766229999999999
116,116,1.17,6.772310000000001,0.881366
117,117,1.18,6.7721300000000015,0.885674
118,118,1.19,6.7719999999999985,0.8901379999999999
119,119,1.2,6.771889999999999,0.894467
120,120,1.21,6.7716899999999995,0.899143
121,121,1.22,6.77153,0.903143
122,122,1.23,6.77147,0.907626
123,123,1.24,6.771319999999999,0.912228
124,124,1.25,6.771160000000001,0.916438
125,125,1.26,6.77101,0.9205709999999999
126,126,1.27,6.7709399999999995,0.9253889999999999
127,127,1.28,6.77083,0.9303620000000001
128,128,1.29,6.77073,0.934824
129,129,1.3,6.770630000000001,0.938844
130,130,1.31,6.7706,0.942873
131,131,1.32,6.7707500000000005,0.9474360000000001
132,132,1.33,6.77071,0.95234
133,133,1.34,6.770760000000001,0.956894
134,134,1.35,6.7708200000000005,0.961089
135,135,1.36,6.77071,0.965759
136,136,1.37,6.770689999999999,0.969949
137,137,1.38,6.77067,0.974168
138,138,1.39,6.7706800000000005,0.978714
139,139,1.4,6.770739999999999,0.9831040000000001
140,140,1.41,6.770810000000001,0.9878120000000001
141,141,1.42,6.77088,0.9922799999999999
142,142,1.43,6.770910000000001,0.9956280000000001
143,143,1.44,6.770910000000001,0.99955
144,144,1.45,6.770989999999999,1.00332
145,145,1.46,6.77112,1.00837
146,146,1.47,6.77115,1.01294
147,147,1.48,6.771139999999999,1.01629
148,148,1.49,6.7712200000000005,1.01995
149,149,1.5,6.7713399999999995,1.0245
150,150,1.51,6.77142,1.0294299999999998
151,151,1.52,6.77155,1.03354
152,152,1.53,6.7717,1.0373299999999999
153,153,1.54,6.77188,1.04112
154,154,1.55,6.7720199999999995,1.04579
155,155,1.56,6.77217,1.05087
156,156,1.57,6.7723499999999985,1.05366
157,157,1.58,6.7725,1.05861
158,158,1.59,6.7727200000000005,1.06354
159,159,1.6,6.77297,1.06701
160,160,1.61,6.773160000000002,1.0707200000000001
161,161,1.62,6.77336,1.07586
162,162,1.63,6.77348,1.08065
163,163,1.64,6.773689999999999,1.0851
164,164,1.65,6.773969999999999,1.08822
165,165,1.66,6.77407,1.09194
166,166,1.67,6.77425,1.09683
167,167,1.68,6.77446,1.10212
168,168,1.69,6.774660000000001,1.10544
169,169,1.7,6.77492,1.10887
170,170,1.71,6.77522,1.11424
171,171,1.72,6.775530000000001,1.11754
172,172,1.73,6.7758199999999995,1.1210799999999999
173,173,1.74,6.77607,1.12681
174,174,1.75,6.7764,1.13114
175,175,1.76,6.7767,1.1353600000000001
176,176,1.77,6.77694,1.13903
177,177,1.78,6.777260000000001,1.14325
178,178,1.79,6.77767,1.14778
179,179,1.8,6.7780000000000005,1.15275
180,180,1.81,6.77833,1.1562
181,181,1.82,6.7785899999999994,1.16044
182,182,1.83,6.7789100000000015,1.1654200000000001
183,183,1.84,6.779190000000002,1.1685
184,184,1.85,6.779439999999999,1.17183
185,185,1.86,6.7797800000000015,1.1776200000000001
186,186,1.87,6.780189999999999,1.18213
187,187,1.88,6.78056,1.18656
188,188,1.89,6.780819999999999,1.1894200000000001
189,189,1.9,6.78107,1.19407
190,190,1.91,6.78143,1.199
191,191,1.92,6.7818299999999985,1.2034799999999999
192,192,1.93,6.782310000000001,1.20695
193,193,1.94,6.782780000000001,1.21098
194,194,1.95,6.78322,1.21646
195,195,1.96,6.78362,1.21957
196,196,1.97,6.783919999999999,1.22348
197,197,1.98,6.784389999999999,1.22759
198,198,1.99,6.78488,1.23169
199,199,2.0,6.78538,1.23654
